0	[E11] udornice [E12] so [E21] površinske kraške oblike [E22], ki nastanejo s podiranjem stropa v podzemnih jamah z aktivnim vodnim tokom, ko se zniža gladina podzemne vode (stepišnik, 2006).	6	has	location	1
0	[E11] udornice [E12] so [E21] površinske kraške oblike [E22], ki nastanejo s podiranjem stropa v podzemnih jamah z aktivnim vodnim tokom, ko se zniža gladina podzemne vode (stepišnik, 2006).	0	has	cause	1
1	[E11] udornice [E12] so [E21] kraške globeli [E22], ki nastanejo z udori stropov nad podzemnimi votlinami.	6	has	location	1
1	[E11] udornice [E12] so [E21] kraške globeli [E22], ki nastanejo z udori stropov nad podzemnimi votlinami.	0	has	cause	1
2	[E11] udornice [E12] so zaprte [E21] kraške globeli [E22] različnih dimenzij in oblik, ki so nastale z udori stropov nad podzemnimi votlinami. različnih	6	has	location	1
2	[E11] udornice [E12] so zaprte [E21] kraške globeli [E22] različnih dimenzij in oblik, ki so nastale z udori stropov nad podzemnimi votlinami. različnih	4	has	form	1
2	[E11] udornice [E12] so zaprte [E21] kraške globeli [E22] različnih dimenzij in oblik, ki so nastale z udori stropov nad podzemnimi votlinami. različnih	0	has	cause	1
3	[E11] udornice [E12] so večje [E21] kraške kotanje [E22], ki so nastale zaradi rušenja stropa, zato imajo strma pobočja.	0	has	cause	1
4	[E11] udornice [E12] so [E21] površinske kraške oblike [E22], ki so nastale s spelogenetskimi procesi (mihevc, 2009).	6	has	location	1
4	[E11] udornice [E12] so [E21] površinske kraške oblike [E22], ki so nastale s spelogenetskimi procesi (mihevc, 2009).	0	has	cause	1
5	[E11] udornice [E12] so izrazita [E21] površinska reliefna oblika [E22], ki pa ima svoj izvor v podzemnem dogajanju.	6	has	location	1
5	[E11] udornice [E12] so izrazita [E21] površinska reliefna oblika [E22], ki pa ima svoj izvor v podzemnem dogajanju.	0	has	cause	1
6	[E11] udornice [E12] so [E21] površinske kraške globeli [E22] različnih oblik in velikosti, katerih nastanek povezujemo s točkastim vertikalnim odnašanjem kamnine v podzemlje, bodisi z nenadnimi udori nad jamskimi prostori, bodisi s postopnim odnašanjem kamnine nad aktivnimi jamskimi rovi (stepišnik, 2001). različnih	6	has	location	1
6	[E11] udornice [E12] so [E21] površinske kraške globeli [E22] različnih oblik in velikosti, katerih nastanek povezujemo s točkastim vertikalnim odnašanjem kamnine v podzemlje, bodisi z nenadnimi udori nad jamskimi prostori, bodisi s postopnim odnašanjem kamnine nad aktivnimi jamskimi rovi (stepišnik, 2001). različnih	4	has	form	1
6	[E11] udornice [E12] so [E21] površinske kraške globeli [E22] različnih oblik in velikosti, katerih nastanek povezujemo s točkastim vertikalnim odnašanjem kamnine v podzemlje, bodisi z nenadnimi udori nad jamskimi prostori, bodisi s postopnim odnašanjem kamnine nad aktivnimi jamskimi rovi (stepišnik, 2001). različnih	0	has	cause	1
7	[E11] udornice [E12] so zaprte centrične [E21] globeli [E22] na krasu.	6	has	location	1
7	[E11] udornice [E12] so zaprte centrične [E21] globeli [E22] na krasu.	4	has	form	1
8	[E11] jama [E12] je [E21] korozijska razpoka [E22] s premerom večjim od 5 – 15 milimetrov (williams, 1989; cv: hribernik, 2005).	0	has	cause	1
9	[E11] jame [E12] so [E21] podzemni kanali [E22], ki jih je izoblikovala tekoča voda s procesom korozije.	6	has	location	1
9	[E11] jame [E12] so [E21] podzemni kanali [E22], ki jih je izoblikovala tekoča voda s procesom korozije.	0	has	cause	1
10	[E11] jame so [E12] [E21] podzemni kanali [E22], ki jih je naredila skozi kras tekoča voda.	6	has	location	1
10	[E11] jame so [E12] [E21] podzemni kanali [E22], ki jih je naredila skozi kras tekoča voda.	0	has	cause	1
11	[E11] fluvioglacialni vršaj [E12] je prodno-peščena [E21] nasutina [E22] stožčaste oblike, ki nastane pred čelom mirujočega ledenika.	4	has	form	1
11	[E11] fluvioglacialni vršaj [E12] je prodno-peščena [E21] nasutina [E22] stožčaste oblike, ki nastane pred čelom mirujočega ledenika.	0	has	cause	1
12	[E11] vršaji [E12] na kontaktnem krasu niso tipične [E21] površinske globeli [E22] kontaktnega krasa, kot so na primer slepe doline ali ponorni zatrepi.	6	has	location	1
13	[E11] vršaji [E12] na krasu niso tipične [E21] površinske globeli [E22], kot so ostale oblike kontaktnega krasa, ki nastanejo s korozijo karbonatov.	6	has	location	1
